city,ssp,period,adapt,range,an_clim,an_demo,an_full
RO001C,1,2050,0%,cold,-311.904497610893,3609.58127656395,3297.67677895305
RO001C,1,2050,0%,heat,461.953505822067,451.663130097497,913.616635919564
RO001C,1,2050,0%,tot,150.049008211174,4061.24440666144,4211.29341487262
RO001C,1,2050,10%,cold,-311.904497610893,3609.58127656395,3297.67677895305
RO001C,1,2050,10%,heat,431.284838302066,416.406972776057,847.691811078124
RO001C,1,2050,10%,tot,119.380340691173,4025.98824934,4145.36859003118
RO001C,1,2050,50%,cold,-311.904497610893,3609.58127656395,3297.67677895305
RO001C,1,2050,50%,heat,284.455801139131,258.255458352525,542.711259491655
RO001C,1,2050,50%,tot,-27.4486964717621,3867.83673491647,3840.38803844471
RO001C,1,2050,90%,cold,-311.904497610893,3609.58127656395,3297.67677895305
RO001C,1,2050,90%,heat,72.5738198310119,59.92388929065,132.497709121662
RO001C,1,2050,90%,tot,-239.330677779881,3669.5051658546,3430.17448807472
RO001C,2,2050,0%,cold,-371.344351746795,3482.04180985013,3110.69745810333
RO001C,2,2050,0%,heat,509.598160485328,447.705186596053,957.303347081382
RO001C,2,2050,0%,tot,138.253808738533,3929.74699644618,4068.00080518471
RO001C,2,2050,10%,cold,-371.344351746795,3482.04180985013,3110.69745810333
RO001C,2,2050,10%,heat,475.025005036336,412.898664861041,887.923669897377
RO001C,2,2050,10%,tot,103.680653289541,3894.94047471117,3998.62112800071
RO001C,2,2050,50%,cold,-371.344351746795,3482.04180985013,3110.69745810333
RO001C,2,2050,50%,heat,310.570819060671,256.446104036398,567.016923097069
RO001C,2,2050,50%,tot,-60.7735326861239,3738.48791388652,3677.7143812004
RO001C,2,2050,90%,cold,-371.344351746795,3482.04180985013,3110.69745810333
RO001C,2,2050,90%,heat,77.9586447260575,59.5481409548123,137.50678568087
RO001C,2,2050,90%,tot,-293.385707020737,3541.58995080494,3248.2042437842
RO001C,3,2050,0%,cold,-413.329388919788,3370.00672487402,2956.67733595423
RO001C,3,2050,0%,heat,636.932505431231,439.030469891187,1075.96297532242
RO001C,3,2050,0%,tot,223.603116511443,3809.03719476521,4032.64031127665
RO001C,3,2050,10%,cold,-413.329388919788,3370.00672487402,2956.67733595423
RO001C,3,2050,10%,heat,594.732314659772,404.782516984163,999.514831643935
RO001C,3,2050,10%,tot,181.402925739984,3774.78924185818,3956.19216759817
RO001C,3,2050,50%,cold,-413.329388919788,3370.00672487402,2956.67733595423
RO001C,3,2050,50%,heat,392.76871414949,251.013102973399,643.78181712289
RO001C,3,2050,50%,tot,-20.5606747702978,3621.01982784742,3600.45915307712
RO001C,3,2050,90%,cold,-413.329388919788,3370.00672487402,2956.67733595423
RO001C,3,2050,90%,heat,100.681814783529,58.0007101629215,158.682524946451
RO001C,3,2050,90%,tot,-312.647574136259,3428.00743503694,3115.35986090068
RO002C,1,2050,0%,cold,-39.8085456937852,447.685476163452,407.876930469667
RO002C,1,2050,0%,heat,46.988593458121,63.0741044457114,110.062697903832
RO002C,1,2050,0%,tot,7.18004776433577,510.759580609164,517.9396283735
RO002C,1,2050,10%,cold,-39.8085456937852,447.685476163452,407.876930469667
RO002C,1,2050,10%,heat,43.2748313953127,57.5616536742258,100.836485069539
RO002C,1,2050,10%,tot,3.46628570152754,505.247129837678,508.713415539206
RO002C,1,2050,50%,cold,-39.8085456937852,447.685476163452,407.876930469667
RO002C,1,2050,50%,heat,26.5917438957303,33.9375658488324,60.5293097445626
RO002C,1,2050,50%,tot,-13.2168017980549,481.623042012285,468.40624021423
RO002C,1,2050,90%,cold,-39.8085456937852,447.685476163452,407.876930469667
RO002C,1,2050,90%,heat,5.99519708021835,7.25952103448084,13.2547181146992
RO002C,1,2050,90%,tot,-33.8133486135669,454.944997197933,421.131648584366
RO002C,2,2050,0%,cold,-49.6323902270269,438.620161905945,388.987771678919
RO002C,2,2050,0%,heat,49.1606507070721,62.5913761137177,111.75202682079
RO002C,2,2050,0%,tot,-0.471739519954791,501.211538019663,500.739798499709
RO002C,2,2050,10%,cold,-49.6323902270269,438.620161905945,388.987771678919
RO002C,2,2050,10%,heat,45.1692177745316,57.0989238180005,102.268141592532
RO002C,2,2050,10%,tot,-4.46317245249526,495.719085723946,491.255913271451
RO002C,2,2050,50%,cold,-49.6323902270269,438.620161905945,388.987771678919
RO002C,2,2050,50%,heat,27.4504648115827,33.6019654809659,61.0524302925486
RO002C,2,2050,50%,tot,-22.1819254154442,472.222127386911,450.040201971467
RO002C,2,2050,90%,cold,-49.6323902270269,438.620161905945,388.987771678919
RO002C,2,2050,90%,heat,6.09471606412012,7.16832371662537,13.2630397807455
RO002C,2,2050,90%,tot,-43.5376741629067,445.788485622571,402.250811459664
RO002C,3,2050,0%,cold,-57.1902934925427,431.027281878236,373.836988385693
RO002C,3,2050,0%,heat,65.9690446829281,62.7073483588212,128.676393041749
RO002C,3,2050,0%,tot,8.77875119038534,493.734630237057,502.513381427442
RO002C,3,2050,10%,cold,-57.1902934925427,431.027281878236,373.836988385693
RO002C,3,2050,10%,heat,60.6927722226468,57.2160410973232,117.90881331997
RO002C,3,2050,10%,tot,3.50247873010406,488.243322975559,491.745801705663
RO002C,3,2050,50%,cold,-57.1902934925427,431.027281878236,373.836988385693
RO002C,3,2050,50%,heat,37.1276809940294,33.7046565981222,70.8323375921515
RO002C,3,2050,50%,tot,-20.0626124985134,464.731938476358,444.669325977845
RO002C,3,2050,90%,cold,-57.1902934925427,431.027281878236,373.836988385693
RO002C,3,2050,90%,heat,8.32758303541597,7.20174538001418,15.5293284154302
