URAU_CODE,agegroup,b1,b2,b3,b4,b5
AT,20-44,0.481487004311089,0.366435503872388,0.427529937630648,0.426695326829033,0.782416683837264
AT,45-64,0.257525919360371,0.144110321891039,0.160122449596384,0.150599694676614,0.654133936505551
AT,65-74,0.131385874896007,0.0188916556801374,0.00951238964704714,-0.00490372826753965,0.581882136796714
AT,75-84,0.0279495681642002,-0.0837891101443709,-0.113989615001575,-0.132418347608278,0.522634818878418
AT,85+,-0.0848172925092772,-0.195732275744828,-0.248632215758934,-0.271435524142937,0.458043049739822
BE,20-44,0.259298429428068,0.0906885802977678,0.193202386302303,0.126985430287993,0.635061954525498
BE,45-64,0.0377600218061393,-0.129231620576602,-0.0713124471489056,-0.14612356412448,0.508166893379105
BE,65-74,-0.0905480355980829,-0.256602463677957,-0.224511094728994,-0.304299678635904,0.434673276788389
BE,75-84,-0.193093267202924,-0.358398663151104,-0.346949163822008,-0.430715794857099,0.375936358100348
BE,85+,-0.305364352256732,-0.469849674478916,-0.48099981302174,-0.56912178716237,0.311628564450464
BG,20-44,0.304418156027563,0.179285784956201,0.106722851373646,0.243704746377176,0.3918366299092
BG,45-64,0.0912025227999132,-0.0323724344573929,-0.147854665535539,-0.0191440652979414,0.269708773587498
BG,65-74,-0.0392548022061,-0.161876846034717,-0.303619518984092,-0.179969762424631,0.19498407726358
BG,75-84,-0.142232115073748,-0.26410197067317,-0.426573489154918,-0.306918541494026,0.13599966659953
BG,85+,-0.238265885772303,-0.359434271602188,-0.541236933451992,-0.425307433183992,0.0809924498567415
CH,20-44,0.542681676279609,0.379153369731965,0.524429913060171,0.406947360170942,0.982312301257406
CH,45-64,0.316251987298496,0.154377615409362,0.254074934380983,0.127808472577713,0.852615561369072
CH,65-74,0.188311779636477,0.0273719351258926,0.101315496030294,-0.0299141626735395,0.779332645559456
CH,75-84,0.085352881428276,-0.0748349093612848,-0.0216164872054945,-0.156840240446226,0.720358782634562
CH,85+,-0.0310247732392981,-0.190362494246062,-0.160570342982819,-0.300308745882919,0.653698785554878
CY,20-44,-0.0184083342686473,-0.197082334319493,-0.187489195434817,0.0122376826460143,0.192086561796058
CY,45-64,-0.237807572872853,-0.41487899153779,-0.449449880634618,-0.258234178523604,0.0664167960114051
CY,65-74,-0.366328942131016,-0.542461588376436,-0.602903220618268,-0.416673260466055,-0.00719900354992783
CY,75-84,-0.469428063967281,-0.644807632241193,-0.726002629584074,-0.54377220367758,-0.0662531852152529
CY,85+,-0.574075586565696,-0.748690766718371,-0.850950814904791,-0.672779990505152,-0.126194275888824
CZ,20-44,0.372227795049151,0.213896386282042,0.209103911908175,0.223721950898688,0.523052134036829
CZ,45-64,0.148408645244997,-0.00828789730485442,-0.058134106858629,-0.052198705882346,0.394850685786821
CZ,65-74,0.0212830794162119,-0.134484886230792,-0.209920870307691,-0.208917063752222,0.322034388954701
CZ,75-84,-0.0807980290429413,-0.235820352702715,-0.331804780607653,-0.334761016406102,0.263563315523849
CZ,85+,-0.183974293710899,-0.338242975916507,-0.45499629740928,-0.461955060062809,0.20446494718927
DE,20-44,0.494198757769491,0.328332083484943,0.412922388490035,0.401314519138109,0.877835981207829
DE,45-64,0.27693476890372,0.112655079271441,0.153511171958,0.133474959586721,0.753389265859576
DE,65-74,0.150257723303956,-0.0130966655998799,0.0022599375621289,-0.0226904697411626,0.680829877084611
DE,75-84,0.0462052679121961,-0.116389079483612,-0.1219777429538,-0.15096466726401,0.621229635162213
DE,85+,-0.0656807441399652,-0.227457830539796,-0.255568618509808,-0.288895947751208,0.557142407610164
DK,20-44,0.0341020040145109,-0.0700984589575226,-0.0552996777756368,-0.113150771277161,-0.0442063761299134
DK,45-64,-0.188656811992183,-0.291230153856822,-0.321271667681583,-0.38776426556536,-0.171800475417235
DK,65-74,-0.315021111536357,-0.416671437097105,-0.472149486146127,-0.543544146573811,-0.244180726270821
DK,75-84,-0.417603014635752,-0.518504040201276,-0.594631340668396,-0.67000547082511,-0.302938650036915
DK,85+,-0.528353340400463,-0.628445400485145,-0.726866217179353,-0.806536695478818,-0.366375367447467
EE,20-44,0.332138164954252,0.291455781972767,0.231362987955111,0.265042341280129,0.278848539225478
EE,45-64,0.113270547234142,0.0741868624631331,-0.0299629467690266,-0.0047741461932418,0.153483280750948
EE,65-74,-0.0175240717083368,-0.0556523793183862,-0.186130526094262,-0.166015653873046,0.0785653857164704
EE,75-84,-0.120737283979112,-0.158111680254659,-0.309366157995886,-0.293255245941695,0.0194458541516905
EE,85+,-0.230379214230301,-0.266952741197214,-0.440277620396375,-0.428420058390137,-0.0433559850092047
EL,20-44,0.156222506710024,-0.0436840056406563,-0.0256599680448184,0.172521435462942,0.41151020027814
EL,45-64,-0.0657897293919274,-0.264074573958871,-0.290740548369551,-0.101171687097295,0.284343734752746
EL,65-74,-0.195058557785048,-0.392399170186561,-0.445086347727253,-0.26053222466861,0.210299797814906
EL,75-84,-0.298989759032384,-0.495571215615519,-0.569179251903214,-0.388656942027689,0.150769009095842
EL,85+,-0.410541245958849,-0.606307885053755,-0.702370707517286,-0.526175825307263,0.0868733943062756
ES,20-44,0.0576411979712504,-0.11130585271331,-0.0461460014521834,0.0523880832024781,0.340489545181333
ES,45-64,-0.160737633163768,-0.328089555934121,-0.306888329462088,-0.216825836011196,0.215404258943981
ES,65-74,-0.289979829353924,-0.456387714491303,-0.461202330212915,-0.37615354183,0.141375576674891
ES,75-84,-0.393095523876439,-0.558750209988661,-0.584321526814601,-0.503272915583231,0.0823119023348751
ES,85+,-0.509717432149237,-0.674520264350861,-0.723567019163657,-0.647042532945484,0.0155119991481512
FI,20-44,0.377551042934045,0.314650645079599,0.298219240457961,0.262920389337243,0.326942617494126
FI,45-64,0.147736311906204,0.0865145744358869,0.023822552520198,-0.0203915237794131,0.195306958200739
FI,65-74,0.0187272114758263,-0.0415521909878712,-0.130213134024358,-0.1794318728855,0.121411790932534
FI,75-84,-0.0839251005425446,-0.143454688715601,-0.252779056152225,-0.305979996122428,0.0626135376173816
FI,85+,-0.1981930347177,-0.25688796336559,-0.389213924948145,-0.446847671985773,-0.00283803193155987
FR,20-44,0.198030345004345,0.0592731888635097,0.137633392028049,0.100696176434984,0.549835783800164
FR,45-64,-0.0200630409220779,-0.157227154156753,-0.122768117012262,-0.168165850505399,0.424913997822598
FR,65-74,-0.15089772226291,-0.287106165704554,-0.278983530474891,-0.329456746467106,0.349973155433107
FR,75-84,-0.254261661822011,-0.389715092955657,-0.402399129380866,-0.456882152718439,0.290767288732701
FR,85+,-0.375716739371022,-0.510283013157439,-0.54741538166208,-0.606610023617949,0.221198992844146
HR,20-44,0.173532241077633,0.0117195223180863,-0.00522050680367971,0.257287748808727,0.339392320057344
HR,45-64,-0.0477206732720473,-0.207917270643158,-0.269394463897732,-0.0154692940783548,0.212660786701133
HR,65-74,-0.174681991636691,-0.33395121183532,-0.42098511737612,-0.17198517030973,0.139938569230822
HR,75-84,-0.278054709441872,-0.436568853212619,-0.544411197427665,-0.299421398241986,0.0807276744358067
HR,85+,-0.380220983142654,-0.537988862844563,-0.666396794247572,-0.425370341239299,0.0222078191767381
HU,20-44,0.233517620339112,0.092733252762228,0.0479911772872048,0.137115525767666,0.296875536418544
HU,45-64,0.0182818498167362,-0.12093034804062,-0.208998365084287,-0.128223678752016,0.173590564956898
HU,65-74,-0.108122552893036,-0.24641144151665,-0.359924066361944,-0.284052998299576,0.101187343397215
HU,75-84,-0.211579263429842,-0.349112462108456,-0.483450432967208,-0.411592771123746,0.0419283383763935
HU,85+,-0.316158784740231,-0.452928092006707,-0.608317425371672,-0.540516727054495,-0.017973801815882
IE,20-44,-0.201975785022023,-0.372683664718122,-0.308215700026365,-0.478084440617048,-0.341194923799552
IE,45-64,-0.426404355423566,-0.595472917446187,-0.576181361415278,-0.754756381332609,-0.469745442284377
IE,65-74,-0.55695010896332,-0.725065111639231,-0.732051797724727,-0.915691091736889,-0.544520789618729
IE,75-84,-0.658704452009649,-0.826076199525975,-0.853545553108985,-1.04113221323267,-0.60280469497572
IE,85+,-0.77017983551,-0.936737321428515,-0.986646141927996,-1.17855727742959,-0.666656718457514
IT,20-44,0.20291796620235,0.00415940013085531,0.0547485716390984,0.223338242370767,0.485718448490835
IT,45-64,-0.0192380551400532,-0.21637390316186,-0.210503686948284,-0.0505321363269165,0.358469624167818
IT,65-74,-0.148510082991418,-0.344701675477649,-0.364853306429881,-0.209896618139021,0.284423854611183
IT,75-84,-0.251057412462808,-0.446499957493674,-0.487293880356377,-0.336315320576438,0.225685734285435
IT,85+,-0.366348041007332,-0.56094845633688,-0.624949836880103,-0.478443757649577,0.159648375274846
LT,20-44,0.314810287676052,0.304000514245622,0.182231105679958,0.319554174365256,0.125842844658691
LT,45-64,0.104228857214169,0.0949572563080523,-0.0692011972081323,0.0599527655949423,0.00522383425053595
LT,65-74,-0.0284037202841518,-0.0367065188315361,-0.227563282246881,-0.103554547903122,-0.0707468257010129
LT,75-84,-0.131765323891676,-0.139313127193804,-0.350976092048028,-0.230977074430831,-0.129951354390908
LT,85+,-0.237589944677897,-0.244364761854267,-0.477329721844244,-0.361435969018214,-0.190566675542707
LU,20-44,0.53183310766894,0.360480421226263,0.484784413487445,0.37365567153246,1.03962254383303
LU,45-64,0.309624404063458,0.139894820483173,0.219469252759555,0.0997203469861214,0.912343543618318
LU,65-74,0.182580964388943,0.013779357828631,0.0677805471879149,-0.0568967670784551,0.839574287854516
LU,75-84,0.0801783482928948,-0.0878752678574784,-0.0544872402913566,-0.183137069188625,0.780919057953096
LU,85+,-0.0346504258654234,-0.201865285886999,-0.191591746900112,-0.324696139584737,0.715146244676168
LV,20-44,0.264722628526948,0.238467363762218,0.127590933922894,0.265201730999289,0.0652518368257858
LV,45-64,0.0522741409156537,0.0275706864209878,-0.126070618133419,0.00329864413143917,-0.0564366058929182
LV,65-74,-0.0791285003458518,-0.102872136436933,-0.282964170549182,-0.158692423707762,-0.131702770241866
LV,75-84,-0.182246570532094,-0.205236990245203,-0.406086203671641,-0.28581472614112,-0.19076780533913
LV,85+,-0.287225537034053,-0.309449147624677,-0.531430129983211,-0.415231111695084,-0.25089874388088
MT,20-44,-0.128882533951712,-0.322488270470943,-0.298428592681404,-0.137368568731841,0.135455665731651
MT,45-64,-0.349568270624124,-0.541562028651649,-0.561925344813796,-0.409426404078547,0.00904900627342657
